,song_name,song_id,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Modern Love - 1999 Remaster,7LyIoUsiMtelB1I0I4drEF,David Bowie,0.315,0.889,0,-8.192,1,0.041,0.000376,0.00241,0.133,0.961,181.329,audio_features,7LyIoUsiMtelB1I0I4drEF,spotify:track:7LyIoUsiMtelB1I0I4drEF,https://api.spotify.com/v1/tracks/7LyIoUsiMtelB1I0I4drEF,https://api.spotify.com/v1/audio-analysis/7LyIoUsiMtelB1I0I4drEF,288467,4
1,West End Girls - 2001 Remaster,7FlwylpJSe3ea6m1IrkizS,Pet Shop Boys,0.648,0.947,4,-6.617,0,0.0369,0.0114,0.0567,0.105,0.602,113.255,audio_features,7FlwylpJSe3ea6m1IrkizS,spotify:track:7FlwylpJSe3ea6m1IrkizS,https://api.spotify.com/v1/tracks/7FlwylpJSe3ea6m1IrkizS,https://api.spotify.com/v1/audio-analysis/7FlwylpJSe3ea6m1IrkizS,245360,4
2,Close To Me,4xiyq1iRdsxuU1BPUJ490Z,The Cure,0.724,0.523,11,-11.139,1,0.116,0.0745,0.703,0.0811,0.965,185.075,audio_features,4xiyq1iRdsxuU1BPUJ490Z,spotify:track:4xiyq1iRdsxuU1BPUJ490Z,https://api.spotify.com/v1/tracks/4xiyq1iRdsxuU1BPUJ490Z,https://api.spotify.com/v1/audio-analysis/4xiyq1iRdsxuU1BPUJ490Z,203267,4
3,The Whole of the Moon - 2004 Remaster,15mZo1Kah03g8CTLbSsWrr,The Waterboys,0.606,0.794,0,-7.168,1,0.0291,0.119,7.16e-06,0.125,0.584,105.813,audio_features,15mZo1Kah03g8CTLbSsWrr,spotify:track:15mZo1Kah03g8CTLbSsWrr,https://api.spotify.com/v1/tracks/15mZo1Kah03g8CTLbSsWrr,https://api.spotify.com/v1/audio-analysis/15mZo1Kah03g8CTLbSsWrr,302827,4
4,Love Will Tear Us Apart,2JO3HwMRPeya8bXbtbyPcf,Joy Division,0.443,0.956,2,-6.198,1,0.0511,5.24e-05,0.825,0.135,0.909,146.754,audio_features,2JO3HwMRPeya8bXbtbyPcf,spotify:track:2JO3HwMRPeya8bXbtbyPcf,https://api.spotify.com/v1/tracks/2JO3HwMRPeya8bXbtbyPcf,https://api.spotify.com/v1/audio-analysis/2JO3HwMRPeya8bXbtbyPcf,206867,4
5,The One I Love - Remastered 2012,2fdfsGuqb6SBX5ocoBWHUd,R.E.M.,0.488,0.84,2,-4.626,1,0.0356,0.000395,1.21e-06,0.346,0.559,127.862,audio_features,2fdfsGuqb6SBX5ocoBWHUd,spotify:track:2fdfsGuqb6SBX5ocoBWHUd,https://api.spotify.com/v1/tracks/2fdfsGuqb6SBX5ocoBWHUd,https://api.spotify.com/v1/audio-analysis/2fdfsGuqb6SBX5ocoBWHUd,197800,4
6,Ashes to Ashes - 2017 Remaster,37CRPk0L5ZpfPeePEPwE0t,David Bowie,0.71,0.743,1,-10.553,1,0.0507,0.273,0.000406,0.258,0.866,120.277,audio_features,37CRPk0L5ZpfPeePEPwE0t,spotify:track:37CRPk0L5ZpfPeePEPwE0t,https://api.spotify.com/v1/tracks/37CRPk0L5ZpfPeePEPwE0t,https://api.spotify.com/v1/audio-analysis/37CRPk0L5ZpfPeePEPwE0t,266160,4
7,Rock the Casbah - Remastered,56KqaFSGTb7ifpt16t5Y1N,The Clash,0.797,0.872,9,-6.727,0,0.0575,0.291,0.0,0.284,0.866,129.885,audio_features,56KqaFSGTb7ifpt16t5Y1N,spotify:track:56KqaFSGTb7ifpt16t5Y1N,https://api.spotify.com/v1/tracks/56KqaFSGTb7ifpt16t5Y1N,https://api.spotify.com/v1/audio-analysis/56KqaFSGTb7ifpt16t5Y1N,222427,4
8,And She Was - 2005 Remaster,5nNZTUzinBDsnj3U76NJFC,Talking Heads,0.697,0.846,9,-5.471,1,0.03,0.0059,0.0256,0.0967,0.973,126.467,audio_features,5nNZTUzinBDsnj3U76NJFC,spotify:track:5nNZTUzinBDsnj3U76NJFC,https://api.spotify.com/v1/tracks/5nNZTUzinBDsnj3U76NJFC,https://api.spotify.com/v1/audio-analysis/5nNZTUzinBDsnj3U76NJFC,219413,4
9,She Sells Sanctuary,4vnLdmUdkOworoveEzpEST,The Cult,0.55,0.765,7,-8.684,1,0.0287,4.82e-06,0.873,0.132,0.417,139.453,audio_features,4vnLdmUdkOworoveEzpEST,spotify:track:4vnLdmUdkOworoveEzpEST,https://api.spotify.com/v1/tracks/4vnLdmUdkOworoveEzpEST,https://api.spotify.com/v1/audio-analysis/4vnLdmUdkOworoveEzpEST,252533,4
